"comune","provincia","denominazione","tipologia funzionale","denominazione ente","OBR","Sistema bibliotecario","indirizzo","frazione","cap","latitudine","longitudine","telefono","fax","email","url"
"Roma","Roma","Biblioteca Centro di documentazione dell'Istituto nazionale confederale di assistenza","Specializzata","Confederazione generale italiana del lavoro. Istituto nazionale confederale di assistenza",,,"Via G. Paisiello 43",,"00198","41.919435","12.4927516","+39 06855631","+39 0685352749",,
"Roma","Roma","Biblioteca degli Archivi delle arti applicate italiane del XX secolo","Specializzata","Associazione archivi delle arti applicate italiane del XX secolo",,,"Via Flaminia 125",,"00196","41.9229868","12.4712447","+39 063203565","+39 063203565",,
"Roma","Roma","Biblioteca Centro di documentazione dell'associazione italiana donne per lo sviluppo","Specializzata","Associazione italiana donne per lo sviluppo",,,"Via dei Giubbonari 30",,"00186","41.8943757","12.4738985","+39 066873214","+39 066872549",,
"Roma","Roma","Biblioteca dell'Ospedale S. Giovanni Calibita","Specializzata","Fatebenefratelli. Ospedale S. Giovanni Calibita",,,"Isola Tiberina 39",,"00186","41.8904695","12.4775345","+39 066837300","+39 066837360",,
"Roma","Roma","Biblioteca dell'Ente nazionale per la cellulosa e per la carta","Specializzata","Ente nazionale per la cellulosa e per la carta",,,"Viale Regina Margherita 270",,"00198","41.9116926","12.5080013","+39 0684811","+39 064402643",,
"Roma","Roma","Biblioteca e Archivio musicale dell'Accademia nazionale di S. Cecilia","Specializzata","Accademia nazionale di Santa Cecilia",,,"Largo Luciano Berio 3",,"00196","41.9297197","12.4742523","+39 0680242332","+39 0680242306","bibliomediateca@santacecilia.it","http://bibliomediateca.santacecilia.it"
"Subiaco","Roma","Biblioteca del Convento di S. Francesco","Specializzata","Frati minori OFM. Convento S. Francesco",,,"Piazza S. Francesco",,"00028","41.9233445","13.08711","+39 077485542","+39 077485600",,
"Roma","Roma","Biblioteca del Programma nazionale di ricerche in Antartide","Specializzata","Consorzio per l'attuazione del programma nazionale di ricerche in Antartide",,,"Via Anguillarese 301",,"00123","42.0410375","12.3063914","+39 0630486498","+39 0630384893","biblioteca@consorzio.pnra.it","http://www.pnra.it/biblioteca"
"Roma","Roma","Biblioteca della Galleria comunale d'arte moderna","Specializzata","Comune di Roma - Istituzione Biblioteche di Roma",,,"Via F. Crispi 24",,"00100","41.9040589","12.4856929","+39 064742848","+39 06474212",,
"Roma","Roma","Biblioteca dell'Ufficio studi e programmazione economica del Comune di Roma","Specializzata","Comune di Roma. Ufficio studi e programmazione economica",,,"Via Crescenzio 86/A",,"00100","41.905973","12.4598148","+39 066869941","+39 066877025",,
"Roma","Roma","Biblioteca dell'Avvocatura del Comune di Roma","Specializzata","Comune di Roma - Istituzione Biblioteche di Roma",,,"Via del Tempio di Giove 21",,"00186","41.8920919","12.482938","+39 0667103206","+39 066781417",,
"Roma","Roma","Biblioteca del Giardino zoologico","Specializzata","Comune di Roma - Istituzione Biblioteche di Roma",,,"Viale del Giardino zoologico 20",,"00100","41.9171167","12.4889455","+39 063216564","+39 063218263",,
"Roma","Roma","Biblioteca dell'Ente italiano di servizio sociale","Pubblica","Ente italiano di servizio sociale",,,"Viale Baldelli 41",,"00100","41.8569833","12.4741936","+39 065410603","+39 065402762",,
"Roma","Roma","Biblioteca dell'Ufficio speciale interventi sul centro storico","Specializzata","Comune di Roma - Istituzione Biblioteche di Roma",,,"Piazzale V. Hugo 8-10",,"00197","41.9133848","12.4829783","+39 0685353839",,,
"Roma","Roma","Biblioteca della Casa di Goethe","Specializzata","Associazione tedesca degli istituti di cultura autonomi",,,"Via del Corso 18",,"00186","41.9089768","12.4770406","+39 0632650412","+39 0632650449",,
"Roma","Roma","Biblioteca del Centro internazionale degli amici di Newman","Specializzata","Comunità internazionale L'Opera",,,"Via Aurelia 257",,"00100","41.8985618","12.4416281","+39 066628488",,,
"Roma","Roma","Biblioteca Borrominiana","NON SPECIFICATA","Trinitari. Comunità di S. Carlino",,,"Via del Quirinale 23",,"00100","41.9003879","12.4885004","+39 064883261","+39 064817301",,
"Roma","Roma","Centro di documentazione del Centro di studi sulla cultura e l'immagine di Roma","Specializzata","Centro di studi sulla cultura e l'immagine di Roma",,,"Via della Lungara 10",,"00165","41.8933293","12.4669222","+39 066838831","+39 066893758",,
"Roma","Roma","Biblioteca del Consorzio internazionale di astrofisica relativistica dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Consorzio internazionale di astrofisica relativistica",,,"Piazzale A. Moro 5",,"00185","41.9017582","12.5120975","+39 0649914678","+39 064454992",,
"Roma","Roma","Videoteca del Centro del Teatro Ateneo","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Centro del Teatro Ateneo",,,"Piazzale A. Moro 5",,"00185","41.9017582","12.5120975","+39 0649914475","+39 0649914442",,
"Roma","Roma","Biblioteca  del Dipartimento di Ingegneria Meccanica e Aerospaziale dell'Università degli studi di Roma La Sapienza","NON SPECIFICATA","Università degli studi di Roma La Sapienza. Dipartimento Ingegneria Meccanica e Aerospaziale",,,"Via Eudossiana 18",,"00184","41.89312","12.4928853","+39 0644585248","+39 064881759","biblioteca@dma.ing.uniroma1.it","http://sibiblioteche.caspur.it/scheda_css.php?id=SAPMA11&incl=info&hist=off"
"Roma","Roma","Biblioteca della Curia generalizia dei Padri Domenicani di S. Sabina","NON SPECIFICATA",,,,"Piazza Pietro d'Illiria",,"00153","41.88441","12.4801466","+39 065741177",,,
"Roma","Roma","Biblioteca della Curia generalizia dei Padri Gesuiti","NON SPECIFICATA",,,,"Borgo S. Spirito 3",,"00193","41.9014973","12.4611613","+39 066879283",,,
"Roma","Roma","Biblioteca dell'Associazione musicale Orphée","NON SPECIFICATA","Associazione musicale Orphée",,,"Viale Monteciccardo 2/6",,"00138","41.9832058","12.5147618",,,,
"Roma","Roma","Biblioteca comune per ingegneria di Palazzo Baleani dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza",,,"Corso Vittorio Emanuele II  244",,"00186","41.897091","12.471713","+39 0649918643","+39 066833734","daniele.coltellacci@uniroma1.it","http://pcicmbib1.ing.uniroma1.it/cobai/ingbib/bib2.html"
"Bracciano","Roma","Sistema dell'Area Ceretano Sabatina","NON SPECIFICATA",,,,"Via dei Pasqualetti 1",,"00062","42.0992392","12.1757121",,,,
"Roma","Roma","Biblioteca della Soprintendenza per i beni librari della Regione Lazio","Specializzata","Regione Lazio",,,"Viale del Caravaggio 99",,"00147","41.8512698","12.4956402","+39 0651688185","+39 0651688172","ddibella@regione.lazio.it",
"Roma","Roma","Mediateca Rossellini","Pubblica","Comune di Roma - Istituzione Biblioteche di Roma",,,"Piazza Cinecittà 11",,"00174","41.8531133","12.5694961","+39 0671072189","+39 0671072380","mediateca.rossellini@bibliotechediroma.it","http://www.comune.roma.it/cultura/biblioteche"
"Roma","Roma","Biblioteca comunale Renato Nicolini","Pubblica","Comune di Roma - Istituzione Biblioteche di Roma","OBR","Sistema delle Biblioteche – Centri culturali di Roma capitale","Via Marino Mazzacurati 76",,"00148","41.8505816","12.4134484","+39 0645460421","+39 0665670318","renatonicolini@bibliotechediroma.it","http://www.comune.roma.it/wps/portal/pcr?jppagecode=biblioteca_corviale.wp"
"Roma","Roma","Biblioteca delle Arti Applicate","Pubblica","Comune di Roma - Sovraintendenza ai Beni Culturali - Museo Casina delle Civette",,,"Via Nomentana 70",,"00161","41.9160636","12.5114643","+39 0644250072","+39 0644250166",,
"Ciampino","Roma","Biblioteca comunale Pier Paolo Pasolini","Pubblica","Comune di Ciampino","OBR","Sistema bibliotecario dei Castelli romani","Viale del Lavoro 53",,"00043","41.8027491","12.6002025","+39 0679097366","+39 0679326252","bicom.ciampino@fastdigitel.com","http://www.romacastelli.it"
"Colonna","Roma","Biblioteca comunale","Pubblica","Comune di Colonna","OBR","Sistema bibliotecario dei Castelli romani","Via Colle Sant'Andrea 1",,"00030","41.8293736","12.7568769","+39 0694738917","+39 069438662","bicom.colonna@fastdigitel.com","http://www.romacastelli.it"
"Guidonia Montecelio","Roma","Biblioteca comunale Montecelio","Pubblica","Comune di Guidonia Montecelio",,,"Via della Lucera",,"00012","42.022025","12.742475","+39 0774511053",,,
"San Cesareo","Roma","Biblioteca comunale","Pubblica","Comune di San Cesareo","OBR","Sistema bibliotecario dei Monti prenestini","Piazza dei Cedri",,"00039","41.8220062","12.8005906","+39 0695898229",,,
"Capena","Roma","Biblioteca comunale Monsignor Francesco Mirra","Pubblica","Comune di Capena",,,"V. Giacomo Matteotti 36",,"00060","42.1416645","12.537493","+39 069032568","+39 069074301",,
"Roma","Roma","Biblioteca del Centro regionale di documentazione","Specializzata","Regione Lazio",,,"Viale del Caravaggio 99",,"00147","41.8512698","12.4956402","+39 0651688100","+39 0651688466",,
"Genazzano","Roma","Biblioteca Vasqueziana del Convento di Santa Maria del Buon Consiglio di Genazzano","Importante non specializzata","Convento di Santa Maria del Buon Consiglio dell'Ordine di Sant'Agostino",,,"Corso Cardinal Vannutelli, 2",,"00030","41.8262592","12.9717222","+39 06.9579002","+39 06.9579002","bibliovasqueziana@hotmail.it",
"Marino","Roma","Biblioteca dell'Associazione Proloco di Marino","NON SPECIFICATA","Associazione Proloco di Marino",,,"Largo palazzo Colonna 3",,"00047","41.769499","12.6583049","+39 069385555",,,
"Roma","Roma","Biblioteca della Fondazione Camillo Caetani","NON SPECIFICATA","Fondazione Camillo Caetani",,,"Via delle Botteghe Oscure 32",,"00186","41.894919","12.4781455","+39 0668803231","+39 0668803231",,
"Olevano Romano","Roma","Biblioteca comunale","Pubblica","Comune di Olevano Romano",,,,,"00035","41.8568671","13.0241726","+39 069564077",,,
"Zagarolo","Roma","Biblioteca comunale Giovanni Coletti","Pubblica","Comune di Zagarolo","OBR","Sistema bibliotecario dei Monti prenestini","Piazza Indipendenza",,"00039","41.8383528","12.8310762","+39 069524572",,,
"Roma","Roma","Biblioteca dell'Azienda ospedaliera L. Spallanzani","NON SPECIFICATA",,,,"Via Portuense 292",,"00149","41.8644239","12.4570677","+39 06551701",,,
"Roma","Roma","Biblioteca dell'Ospedale pediatrico Bambin Gesù","NON SPECIFICATA",,,,"Piazza S. Onofrio 4",,"00165","41.8977199","12.461335","+39 0668592357",,,
"Roma","Roma","Biblioteca della Fondazione S. Lucia - IRCCS","Specializzata",,,,"Via Ardeatina 306",,"00179","41.84069","12.5169885","+39 0651501570","+39 065032097","biblioteca@hsantalucia.it","http://www.hsantalucia.it"
"Roma","Roma","Biblioteca dell'Istituto nazionale di riposo e cura per anziani. INRCA","NON SPECIFICATA",,,,"Via Cassia 1167",,"00189","41.9790983","12.4184286","+39 06303421",,,
"Velletri","Roma","Biblioteca comunale Augusto Tersenghi","Pubblica","Comune di Velletri","OBR","Sistema bibliotecario dei Castelli romani","Piazza Cairoli 54",,"00049","41.6889096","12.7794291","+39 0696155290","+39 0696155290","bicom.velletri@fastdigitel.com",
"Roma","Roma","Biblioteca della Soprintendenza per il Patrimonio Storico, Artistico e Etnoantropologico e per il Polo Museale della città di Roma","Specializzata","Ministero dei beni e delle attività culturali e del turismo. Soprintendenza per il Patrimonio Storico, Artistico e Etnoantropologico e per il Polo Museale della città di Roma",,,"Piazza S. Marco 49",,"00186","41.895743","12.481669","+39 0669994277","+39 0669994327","mariateresa.gallo@beniculturali.it",
"Roma","Roma","Biblioteca del Museo degli strumenti musicali","Specializzata","Ministero dei beni e delle attività culturali e del turismo. Museo degli strumenti musicali",,,"Piazza S. Croce in Gerusalemme 9/a",,"00185","41.8890099","12.5142275","+39 067014796",,,
"Roma","Roma","Biblioteca del Museo nazionale di Palazzo Venezia","Specializzata","Ministero dei beni e delle attività culturali e del turismo. Museo nazionale di Palazzo Venezia",,,"Piazza S. Marco 49",,"00186","41.895743","12.481669","+39 066798865",,,
"Roma","Roma","Biblioteca della Galleria Borghese","Specializzata","Ministero dei beni e delle attività culturali e del turismo. Galleria Borghese",,,"Piazzale S. Borghese",,"00197","41.915037","12.491967","+39 068416542",,"sspsae-rm.galleriaborghese@beniculturali.it","http://galleriaborghese.beniculturali.it/index.php?it/1/home"
"Civitella San Paolo","Roma","Biblioteca del Monastero di S. Scolastica","NON SPECIFICATA","Monastero di Santa Scolastica",,,"via provinciale civitellese per Nazzano, 11",,"00060","42.199537","12.5775185","+39 0765.335114",,"sscolastica@tiberbanda.it",
"Roma","Roma","Biblioteca centrale della II facoltà di medicina e chirurgia dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. II facoltà di medicina e chirurgia",,,"Via di Grottarossa 1037, presso Ospedale S. Andrea",,"00189","41.981559","12.471869","+39 0633775340","+39 0633775301","felicia.proietti@uniroma1.it","http://w3.uniroma1.it/bibliomed2"
"Roma","Roma","Biblioteca Casa dei Teatri","Specializzata","Comune di Roma - Istituzione Biblioteche di Roma","OBR","Sistema delle Biblioteche – Centri culturali di Roma capitale","Parco di Villa Pamphili - Largo 3 giugno 1849",,"00164","41.887815","12.459355","+39 0645460691","+39 0645460692","casadeiteatri@bibliotechediroma.it","http://tinyurl.com/6z3bxn"
"Roma","Roma","Biblioteca dell'Istituto Maestre pie Venerini","Pubblica","Istituto Maestre pie Venerini",,,"Via G. Belli 31",,"00193","41.9069362","12.4699877","+39 063213205","+39 063211596",,
"Roma","Roma","Biblioteca della Curia generalizia suore passioniste","Pubblica","Curia generalizia suore passioniste",,,"Via don C. Gnocchi 75",,"00166","41.9159215","12.3971004","+39 066243270","+39 066140609","sr.pia.regina@passioniste.org",
"Roma","Roma","Biblioteca del Centro internazionale di spiritualità asc","Pubblica","Centro internazionale di spiritualità asc",,,"Via Beata M. De Mattias 10",,"00183","41.879477","12.5020367","+39 0670496702","+39 0677208884","cisasc@pcn.net",
"Roma","Roma","Biblioteca dell'Istituto Sacri Cuori","Pubblica","Istituto Sacri Cuori",,,"Via dei Casali di Torrevecchia 4-8",,"00168","41.920545","12.4093534","+39 066280761","+39 066280761","scuolasacricuori@tiscalinet.it",
"Roma","Roma","Biblioteca della Sede universitaria padre Luigi Tezza","Pubblica","Università padre Luigi Trezza",,,"Via Labico 74",,"00177","41.8820092","12.5446014","+39 0624291435","+39 0624303812","labiondo@libero.it",
"Roma","Roma","Mediateca ex Fabbrica Peroni","Specializzata","Comune di Roma. Sovraintendenza ai Beni Culturali",,,"Via Reggio Emilia 54",,"00198","41.9127858","12.5021768","+39 0667107910","+39 0667107931","galleria.moderna@comune.roma.it",
"Roma","Roma","Biblioteca della Corte di appello di Roma","NON SPECIFICATA","Corte di appello di Roma",,,"Via Varisco 11",,"00136","41.9156581","12.4507198","+39 0638703261","+39 0638703261",,
"Roma","Roma","Biblioteca della Procura generale della Repubblica presso la Corte di appello di Roma","NON SPECIFICATA","Procura generale della Repubblica presso la Corte di appello di Roma",,,"Piazza Adriana 2",,"00193","41.9032175","12.4682033","+39 0668833458","+39 0668308663",,
"Roma","Roma","Biblioteca dell'Accademia Lancisiana","NON SPECIFICATA","Accademia Lancisiana",,,"Borgo S. Spirito 3",,"00193","41.9014973","12.4611613","+39 0668308539","+39 066867828","lancisi@tin.it","http://www.accademia-lancisian.it/page8.html"
"Roma","Roma","Biblioteca comunale Cornelia","Pubblica","Comune di Roma - Istituzione Biblioteche di Roma","OBR","Sistema delle Biblioteche – Centri culturali di Roma capitale","Via Cornelia 45",,"00166","41.9083705","12.3963512","+39 0645460411","+39 0661532063","biblioteca.cornelia@bibliotechediroma.it","http://tinyurl.com/5a94yw"
"Roma","Roma","Biblioteca dell'Opera Nazionale Montessori","Specializzata","Opera Nazionale Montessori",,,"Via S. Gallicano 7",,"00153","41.8887721","12.4730572","+39 065883320","+39 065885434","biblioteca@montessori.it","http://www.montessori.it/bibliotecaecentrodidocumentazio/biblioteca/index.htm"
"Roma","Roma","Archivio centrale del libro","NON SPECIFICATA","Comune di Roma - Istituzione Biblioteche di Roma",,,"Piazza Grazioli 4",,"00186","41.89704","12.48055","+39 066796609","+39 0667103422",,
"Roma","Roma","Biblioteca Associazione culturale Insieme per il Trullo","Pubblica","Associazione culturale Insieme per il Trullo",,,"Via Monte delle Capre 23",,"00148","41.8447415","12.4347495","+39 0665793133",,"insieme_trullo@virgilio.it","http://www.insiemeperiltrullo.it"
"Roma","Roma","Biblioteca Centro formazione giovanile Madonna di Loreto","Pubblica",,,,"Via di Macchia Saponara",,"00125","41.7686823","12.3567583",,,,
"Roma","Roma","Biblioteca dell'Albo nazionale Segretari comunali e provinciali","Specializzata","Ministero dell'interno. Albo nazionale Segretari comunali e provinciali",,,"Piazza Cavour 25",,"00193","41.9059608","12.470116","+39 0632884729","+39 0632884701","lantonelli@sspal.it","http://www.agenziasegretari.it/?page_id=7540"
"Roma","Roma","Bibliobus","Pubblica","Comune di Roma - Istituzione Biblioteche di Roma","OBR","Sistema delle Biblioteche – Centri culturali di Roma capitale","Biblioteca itinerante",,"00100","41.8954656","12.4823243","+39 3357519295",,"bibliobus@bibliotechediroma.it","http://tinyurl.com/5mv6l8"
"Roma","Roma","Biblioteca dell'Archivio generale dei Ministri degli infermi","Specializzata","Camilliani",,,"Piazza della Maddalena 53",,"00186","41.9001809","12.4765911","+39 06899281","+39 0689928133","agmi@camilliani.org","http://www.camilliani.org"
"Roma","Roma","Biblioteca dell'Istituto superiore antincendi - ISA","NON SPECIFICATA","Ministero dell'interno. Dipartimento dei vigili del fuoco, del soccorso pubblico e della difesa civile",,,"Via del Commercio 13",,"00154","41.8709697","12.4757223","+39 0657064337","+39 0657064234","biblioteca@isa-vvf.systes.net",
"Roma","Roma","Biblioteca di Regina Coeli. Sezione 3","NON SPECIFICATA","Ministero della giustizia",,,"Via della Lungara, 29",,"00165","41.8955229","12.4652749","+39 0645460326","+39 0645460332","biblioincarcere@bibliotechediroma.it",
"Roma","Roma","Biblioteca di Regina Coeli. Sezione 4","NON SPECIFICATA","Ministero della giustizia",,,"Via della Lungara, 29",,"00165","41.8955229","12.4652749","+39 0645460326","+39 0645460332","biblioincarcere@bibliotechediroma.it",
"Roma","Roma","Biblioteca di Regina Coeli. Sezione 6","NON SPECIFICATA","Ministero della giustizia",,,"Via della Lungara, 29",,"00165","41.8955229","12.4652749","+39 0645460326","+39 0645460332","biblioincarcere@bibliotechediroma.it",
"Roma","Roma","Biblioteca di Rebibbia. Nuovo complesso","NON SPECIFICATA","Ministero della giustizia",,,"Via Raffaele Maietti, 70",,"00156","41.931065","12.57254","+39 0645460326","+39 0645460332","biblioincarcere@bibliotechediroma.it",
"Roma","Roma","Biblioteca di Rebibbia. Reclusione 1","NON SPECIFICATA","Ministero della giustizia",,,"Via Bartolo Longo, 72",,"00156","41.9330647","12.5686019","+39 0645460326","+39 0645460332","biblioincarcere@bibliotechediroma.it",
"Roma","Roma","Biblioteca di Rebibbia. Reclusione 2","NON SPECIFICATA","Ministero della giustizia",,,"Via Bartolo longo, 72",,"00156","41.9330647","12.5686019","+39 0645460326","+39 0645460332","biblioincarcere@bibliotechediroma.it",
"Roma","Roma","Biblioteca di Rebibbia. Femminile","NON SPECIFICATA","Ministero della giustizia",,,"Via Bartolo Longo, 92",,"00156","41.9330647","12.5686019","+39 0645460326","+39 0645460332","biblioincarcere@bibliotechediroma.it",
"Roma","Roma","Biblioteca di Rebibbia. Terza casa","NON SPECIFICATA","Ministero della giustizia",,,"Via Bartolo Longo, 78",,"00156","41.9330647","12.5686019","+39 0645460326","+39 0645460332","biblioincarcere@bibliotechediroma.it",
"Roma","Roma","Biblioteca dell'Istituto Penale per i minorenni Casal del Marmo","NON SPECIFICATA","Ministero della giustizia",,,"Via G. Barellai, 140",,"00135","41.9439204","12.4125571","+39 0645460326","+39 0645460332","biblioincarcere@bibliotechediroma.it",
"Roma","Roma","Biblioteca dell'Archivio storico e iconografico del socialismo - ASIS","NON SPECIFICATA","Archivio storico e iconografico del socialismo - ASIS",,,"Viale Trastevere 236",,"00153","41.8767022","12.4656199","+39 06584828","+39 06584832","ragsoc@tiscalinet.it","http://www.nevolquerci.org"
"Roma","Roma","Biblioteca dell'Istituto statale sordomuti","NON SPECIFICATA",,,,"Via Nomentana 54-56",,"00161","41.913468","12.5076381","+39 0644243011","+39 0644240638","istitutosordiroma@istitutosordiroma.it","http://www.istitutosordiroma.it/biblioteche.asp"
"Roma","Roma","Biblioteca della Provincia romana dei Frati dell'Ordine della Mercede","NON SPECIFICATA",,,,"Via Nocara 21",,"00173","41.8354217","12.5995645","+39 0672671588","+39 0672394483","scriptorium.sd@virgilio.it",
"Roma","Roma","Biblioteca del Museo nazionale delle arti del XXI secolo - MAXXI","Specializzata","Ministero dei beni e delle attività culturali e del turismo. Museo nazionale delle arti del XXI secolo - MAXXI",,,"Via G. Reni 4a",,"00196","41.9284541","12.4682933",,,"bibliomaxxi@fondazionemaxxi.it","http://www.fondazionemaxxi.it"
"Roma","Roma","Biblioteca scolastica del Liceo scientifico statale Giuseppe Peano","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via F. Morandini 38",,"00142","41.8294887","12.4981257","+39 065034148","+39 025034164","mascolo@peanoroma.it",
"Roma","Roma","Biblioteca Centro Culturale Borghesiana","Pubblica","Comune di Roma - Istituzione Biblioteche di Roma","OBR","Sistema delle Biblioteche – Centri culturali di Roma capitale","Largo Monreale snc",,"00133","41.860668","12.670583","+39 0645460361","+39 0645569747","borghesiana@bibliotechediroma.it",
"Roma","Roma","Biblioteca Casa dei bimbi","Pubblica","Comune di Roma - Istituzione Biblioteche di Roma","OBR","Sistema delle Biblioteche – Centri culturali di Roma capitale","Via Libero Leonardi 153",,"00173","41.8514447","12.5933722","+39 0645460381","+39 0645446636","casadeibimbi@bibliotechediroma.it","http://www.bibliotu.it/i_libri_di_biblioteche_di_roma/casa_dei_bimbi"
"Roma","Roma","Biblioteca Sandro Onofri","Pubblica","Comune di Roma - Istituzione Biblioteche di Roma","OBR","Sistema delle Biblioteche – Centri culturali di Roma capitale","Via Lilloni, 39/45",,"00125","41.7755415","12.3464288","+39 0645460641","+39 0697997984","biblioteca.sandronofri@bibliotechediroma.it","http://tinyurl.com/6a6h6g"
"Roma","Roma","Biblioteca scolastica multimediale Alberto Savinio del Liceo artistico statale Giorgio De Chirico","Scolastica","Ministero dell'istruzione, dell'università e della ricerca. Liceo artistico statale Giorgio De Chirico",,,"Largo Pannonia 37",,"00183","41.8795805","12.5017892","+39 0677202832","+39 0677591891","savinio@romascuola.net",
"Colonna","Roma","Biblioteca dell'Istituto comprensivo Tiberio Gulluni","Scolastica","Ministero dell'istruzione, dell'università e della ricerca. Istituto comprensivo Tiberio Gulluni",,,"Via Capocroce 4",,"00030","41.8332907","12.7525504","+39 069438431","+39 069438058",,
"Pomezia","Roma","Biblioteca scolastica dell'Istituto superiore Biagio Pascal","Scolastica","Ministero dell'istruzione, dell'università e della ricerca. Liceo scientifico statale Biagio Pascal",,,"Via P. Nenni 48",,"00040","41.6594281","12.4989122","+39 069123126","+39 069104374",,
"Tivoli","Roma","Biblioteca del Liceo scientifico statale Lazzaro Spallanzani","Scolastica","Ministero dell'istruzione, dell'università e della ricerca. Liceo scientifico statale Lazzaro Spallanzani",,,"Via Rivellese",,"00019","41.9543891","12.8059263","+39 0774335733","+39 0774315196","lscspall@rdn.it",
"Roma","Roma","Biblioteca Fondazione Maria e Goffredo Bellonci","Specializzata","Fondazione Maria e Goffredo Bellonci onlus",,,"Via Fratelli Ruspoli, 2",,"00198","41.9235488","12.4961963","+39 0685358119","+39 0685358119","info@fondazionebellonci.it","www.fondazionebellonci.it"
"Roma","Roma","Biblioteca Fabrizio Giovenale","NON SPECIFICATA","Centro di Cultura Ecologica","OBR","Sistema delle Biblioteche – Centri culturali di Roma capitale","Via Fermo Corni, snc","Casale ALBA 3-Le Vaccherie","00137","41.9327286","12.5587882","+39 068270876","+39 068270876","biblioteca@centrodiculturaecologica.it","http://www.centrodiculturaecologica.it/home/?q=node/biblioteca"
"Roma","Roma","Biblioteca giuridica della Giunta della Regione Lazio","Specializzata","Regione Lazio. Giunta regionale",,,"Via Rosa Raimondi Garibaldi 7",,"00145","41.8598716","12.4945043","+39 0651683562",,"lcorradi@regione.lazio.it","http://www.regione.lazio.it/rl_main/?vw=contenutidettaglio&id=54"
"Fiuggi","Frosinone","Biblioteca - Archivio della Fondazione Adkins Chiti: Donne in musica","Specializzata","Fondazione Adkins Chiti Donne in musica",,,"Piazza Trento e Trieste, n. 1",,"03014","41.8039747","13.2214256",,,"forum@donneinmusica.it","http://www.donneinmusica.org"
"Roma","Roma","Biblioteca Pio XII dell'Università degli studi Europea- Ateneo pontificio Regina apostolorum","Importante non specializzata","Legionari di Cristo",,,"Via degli Aldobrandeschi 190",,"00163","41.8775042","12.3953959","+39 0666543880","+39 0666543882","biblioteca@upra.org",
"Roma","Roma","Biblioteca della Università degli Studi Internazionali di Roma","Istituto di insegnamento superiore","Libera Università degli Studi per l'Innovazione e le Organizzazioni - LUSPIO",,,"Via Cristoforo Colombo, 200",,"00147","41.8611721","12.4976541","+39 06510777238",,"biblio@unint.eu","www.unint.eu"
"Roma","Roma","Biblioteca Europea","Pubblica","Comune di Roma - Istituzione Biblioteche di Roma","OBR","Sistema delle Biblioteche – Centri culturali di Roma capitale","Via Savoia 15 (presso l'edificio del Goethe Institut)",,"00198","41.913301","12.499443",,,"europea@bibliotechediroma.it","http://www.bibliotecaeuropea.it"
"Roma","Roma","Biblioteca della Casa della memoria e della storia","Pubblica","Comune di Roma - Istituzione Biblioteche di Roma","OBR","Sistema delle Biblioteche – Centri culturali di Roma capitale","Via S. Francesco di Sales 5",,"00165","41.8944903","12.4645197","+39 0645460501",,"casadellamemoria@bibliotechediroma.it","http://tinyurl.com/5hnf25"
"Roma","Roma","Biblioteca del Consiglio Nazionale dei Dottori Commercialisti ed Esperti Contabili","Specializzata","Consiglio nazionale dei dottori commercialisti ed esperti contabili",,,"Piazza della Repubblica 59",,"00185","41.9027527","12.4965147","+39 0647863343","+39 0647863636","colecchia@commercialisti.it","www.bibliotecacndcec.it"
"Roma","Roma","Centro sistema delle Biblioteche di Roma","Pubblica","Comune di Roma - Istituzione Biblioteche di Roma",,,"Via Gerolamo Cardano, 135",,"00146","41.86245","12.4648852","+39 0645460334","+39 0645460332",,
"Roma","Roma","Biblioteca Statuario","Pubblica","Parrocchia S. Ignazio di Antiochia",,,"Via Squillace 3",,"00178","41.8327525","12.5549666","+39 067187093",,"bibliostatuario@libero.it","http://bibliostatuario.wordpress.com/"
"Vicovaro","Roma","Biblioteca comunale Marcantonio Sabellico","Pubblica","Comune di Vicovaro",,,"Via delle scuole 1",,"00029","42.0145733","12.8917751","+39 0774498002","+39 0774490742","biblioteca.vicovaro@email.it","http://www.comunedivicovaro.it/cultura/biblioteca.asp"
"Roma","Roma","Biblioteca della Fondazione Alcide De Gasperi","Specializzata","Fondazione Alcide De Gasperi",,,"Via Pavia 1",,"00161","41.9076939","12.5152612","+39 064416381","+39 0644232653","info@fondazionedegasperi.it","http://www.fondazionedegasperi.it"
"Roma","Roma","Biblioteca della Fondazione La Quadriennale di Roma","Specializzata","Quadriennale di Roma",,,"Piazza di Villa Carpegna",,"00165","41.8953945","12.4295642",,"+39 0697745309","biblioteca@quadriennalediroma.org","http://www.quadriennalediroma.org/?page_id=3552"
"Frascati","Roma","Biblioteca comunale per ragazzi Casa di Pia","Pubblica","Comune di Frascati",,,"Via di Villa Borghese 8",,"00044","41.80876","12.682929","+39 069417674","+39 069417674","basc@comune.frascati.rm.it",
